100000 100000
16808 75250 50074
43659 8931 11273
27545 50879 77924
37710 64441 38166
84493 43043 7988
22504 82328 31730
78841 42613 44304
33170 17710 97158
29561 70934 93100
80279 51817 95336
99098 7827 13513
29268 23811 77634
80980 79150 36580
58822 11968 10673
1394 19337 25486
91746 25229 94092
40195 86358 35002
21154 16709 57945
15669 71491 88125
2197 9531 60904
27723 54667 28550
18025 97802 6854
40978 47409 8229
74934 60299 38982
28636 8014 23866
89815 39064 54537
39426 1670 24116
20095 75630 46502
46518 34196 30106
10405 19452 94299
82189 21124 99506
46883 6753 31567
36717 30338 54439
53145 51502 44898
83872 55829 11138
19359 53178 82398
22295 77905 21610
46232 59746 44176
53636 66299 98143
80400 27969 90413
261 73558 41595
88009 16396 25969
19114 4531 71007
10963 97943 85366
42083 79853 30768
33822 85696 24713
73672 59902 48591
24832 14739 53058
31617 19791 55641
10680 37336 77007
97973 36099 49096
75320 83455 45224
12290 56761 48906
86127 36124 29507
45814 76771 35239
29095 96221 87845
12367 40535 25227
15395 41364 18739
7845 59591 36551
45160 8624 64948
97386 7218 95273
55540 99248 42386
13497 94886 40624
82421 28145 31969
35736 99916 61626
63535 46043 96012
54680 24153 75245
77296 78819 90397
87693 1816 12992
40034 22670 19398
89554 10548 75826
21211 29663 30212
33809 73378 22762
626 37336 1869
77996 2777 62768
97440 29875 89332
40557 56302 68873
561 20095 18985
13756 39790 51408
28016 30194 22770
15681 3456 16856
67507 70964 33503
86677 63109 63250
2332 77845 87639
60809 39998 28652
54850 45204 95732
96532 98015 95420
36776 42010 30181
87930 95224 44055
88261 76738 91546
47318 37526 4201
34257 21565 60598
6649 37705 25551
25151 41977 1413
38555 82798 2505
48382 34749 7066
59379 47700 78210
25130 78554 65484
50448 64608 80774
45323 64306 55177
70054 27225 84631
80367 5401 60445
95371 70286 83017
93899 8156 41134
15558 96577 53179
58267 87358 21712
27879 20615 74820
95738 83134 20592
23721 48763 6634
76198 76032 38589
60590 54874 98878
37305 79359 61201
77255 68961 14916
93948 45481 7731
